topology,method,train_seed,seed,warmup,evaluated,admitted,blocked,blocking_rate,mean_utilization,avg_fs,avg_hop_count
cost239,ksp_ff_k50_hops,,110,3000,10000,9837,163,0.0163,0.5629079038461539,4.173020229744841,1.609942055504727
cost239,ksp_ff_k5_hops,,101,3000,10000,9687,313,0.0313,0.548779173076923,4.146691442138949,1.5864560751522658
cost239,ksp_ff_k5_hops,,102,3000,10000,9734,266,0.0266,0.5432620192307692,4.121840969796589,1.5852681323197042
cost239,ksp_ff_k5_hops,,103,3000,10000,9749,251,0.0251,0.5394059615384615,4.116627346394502,1.5734947174069136
cost239,ksp_ff_k5_hops,,104,3000,10000,9720,280,0.028,0.5418512115384616,4.1567901234567906,1.5909465020576132
cost239,ksp_ff_k5_hops,,105,3000,10000,9805,195,0.0195,0.5293773461538461,4.151045385007649,1.5752167261601224
cost239,ksp_ff_k5_hops,,106,3000,10000,9728,272,0.0272,0.5445761346153846,4.1352796052631575,1.574938322368421
cost239,ksp_ff_k5_hops,,107,3000,10000,9727,273,0.0273,0.540300423076923,4.146293821322093,1.5779788218361261
cost239,ksp_ff_k5_hops,,108,3000,10000,9735,265,0.0265,0.5394552692307693,4.153569594247561,1.5859270672829995
cost239,ksp_ff_k5_hops,,109,3000,10000,9682,318,0.0318,0.5454349807692307,4.142222681264202,1.5853129518694484
cost239,ksp_ff_k5_hops,,110,3000,10000,9773,227,0.0227,0.5364666923076923,4.135065998158191,1.5774071421262663
cost239,ksp_ff_k5_km,,101,3000,10000,9303,697,0.0697,0.5282055961538461,4.051703751478017,1.6434483499946253
cost239,ksp_ff_k5_km,,102,3000,10000,9332,668,0.0668,0.5191304038461538,4.018966995285041,1.6385555079297043
cost239,ksp_ff_k5_km,,103,3000,10000,9338,662,0.0662,0.5174114615384616,4.002677232812165,1.6330049261083743
cost239,ksp_ff_k5_km,,104,3000,10000,9279,721,0.0721,0.5214558846153846,4.057333764414269,1.6519021446276538
cost239,ksp_ff_k5_km,,105,3000,10000,9398,602,0.0602,0.5145319423076922,4.045541604596723,1.6398169823366673
cost239,ksp_ff_k5_km,,106,3000,10000,9319,681,0.0681,0.5200247115384616,4.030368065243052,1.6362270629895912
cost239,ksp_ff_k5_km,,107,3000,10000,9351,649,0.0649,0.5207566153846154,4.0582825366270985,1.6420703668056893
cost239,ksp_ff_k5_km,,108,3000,10000,9286,714,0.0714,0.5161893461538463,4.032737454232177,1.6411802713762653
cost239,ksp_ff_k5_km,,109,3000,10000,9287,713,0.0713,0.5200678076923078,4.026488640034457,1.6426187143318618
cost239,ksp_ff_k5_km,,110,3000,10000,9368,632,0.0632,0.5138038269230769,4.030849701110162,1.648057216054654
nsfnet,deeprmsa_local,42,101,3000,10000,9348,652,0.0652,0.4230492727272727,4.517543859649122,2.3014548566538298
nsfnet,deeprmsa_local,42,102,3000,10000,9322,678,0.0678,0.41757320454545455,4.533361939497961,2.3216048058356575
nsfnet,deeprmsa_local,42,103,3000,10000,9376,624,0.0624,0.4174956590909091,4.505226109215017,2.3162329351535837
nsfnet,deeprmsa_local,42,104,3000,10000,9439,561,0.0561,0.4103080681818182,4.548257230638839,2.3148638626973197
nsfnet,deeprmsa_local,42,105,3000,10000,9390,610,0.061,0.41212538636363644,4.524387646432375,2.308306709265176
nsfnet,deeprmsa_local,42,106,3000,10000,9339,661,0.0661,0.41905018181818177,4.535496305814327,2.3166291894207087
nsfnet,deeprmsa_local,42,107,3000,10000,9360,640,0.064,0.4225672045454545,4.548611111111111,2.3212606837606837
nsfnet,deeprmsa_local,42,108,3000,10000,9323,677,0.0677,0.42140377272727275,4.529014265794272,2.315992706210447
nsfnet,deeprmsa_local,42,109,3000,10000,9372,628,0.0628,0.4123664545454545,4.515044814340589,2.303883909517712
nsfnet,deeprmsa_local,42,110,3000,10000,9342,658,0.0658,0.4135346136363636,4.538749732391351,2.325090986940698
nsfnet,deeprmsa_local,43,101,3000,10000,9043,957,0.0957,0.4631730909090909,4.738361163330753,2.5100077407939843
nsfnet,deeprmsa_local,43,102,3000,10000,9040,960,0.096,0.45221909090909096,4.756194690265486,2.519137168141593
nsfnet,deeprmsa_local,43,103,3000,10000,9037,963,0.0963,0.4634368636363637,4.729998893438088,2.5209693482350337
nsfnet,deeprmsa_local,43,104,3000,10000,9146,854,0.0854,0.4557608409090909,4.7976164443472555,2.533894598731686
nsfnet,deeprmsa_local,43,105,3000,10000,9113,887,0.0887,0.4532915909090909,4.735652364753649,2.5271590036212004
nsfnet,deeprmsa_local,43,106,3000,10000,9045,955,0.0955,0.4619118863636364,4.757987838584853,2.517191818684356
nsfnet,deeprmsa_local,43,107,3000,10000,9061,939,0.0939,0.45908202272727267,4.757642644299747,2.5147334731265865
nsfnet,deeprmsa_local,43,108,3000,10000,9055,945,0.0945,0.46265431818181824,4.767863059083379,2.5117614577581446
nsfnet,deeprmsa_local,43,109,3000,10000,9081,919,0.0919,0.45597913636363635,4.751459090408545,2.513599823807951
nsfnet,deeprmsa_local,43,110,3000,10000,9039,961,0.0961,0.4569028181818181,4.782498063945127,2.532581037725412
nsfnet,deeprmsa_local,44,101,3000,10000,9363,637,0.0637,0.43967981818181817,4.553134679055858,2.333653743458293
nsfnet,deeprmsa_local,44,102,3000,10000,9385,615,0.0615,0.43229465909090903,4.560895045285029,2.3503462972828983
