topology,topology_key,load_erlang,seed,method,warmup,evaluated,accepted,blocked,blocking_rate,avg_decision_ms,avg_legal_actions,avg_path_idx,avg_mod_idx,avg_block_idx,avg_start_slot,avg_required_fs,avg_path_hops,avg_path_km,avg_block_waste,request_trace_hash,elapsed_seconds
jpn48,xlron_jpn48,475.0,5001,ksp_ff_k50_hops,500,1000,891,109,0.109,0.03204210061812773,146.069,2.1054994388327724,2.3916947250280582,0.0,31.161616161616163,2.9450056116722783,4.92368125701459,706.3602693602694,0.25152511486707346,4eeffd479fec3414dfaf44a07798ca78fb3aac4b2d0c10d98ee40ea7bf5783cb,15.361201200052164
jpn48,xlron_jpn48,475.0,5001,strict_v13,500,1000,812,188,0.188,3.390523099573329,55.442,7.713054187192118,0.9544334975369458,0.45566502463054187,47.720443349753694,4.687192118226601,5.850985221674877,861.3497536945813,0.2338634479947148,4eeffd479fec3414dfaf44a07798ca78fb3aac4b2d0c10d98ee40ea7bf5783cb,20.240681600000244
jpn48,xlron_jpn48,650.0,5001,ff_ksp_k50_hops,500,1000,783,217,0.217,0.16145790019072592,110.504,6.353767560664112,2.3524904214559386,0.0,28.05236270753512,2.9374201787994894,5.245210727969349,739.7215836526182,0.1802668056913387,2168da8c69fd0de293d2150a5cb72f12fee859df00bc7192343bbbf100f0431b,12.710822699998971
jpn48,xlron_jpn48,650.0,5001,ksp_ff_k50_hops,500,1000,798,202,0.202,0.022521799837704748,117.655,2.036340852130326,2.4573934837092732,0.0,31.92982456140351,2.8947368421052633,4.631578947368421,661.0426065162907,0.23796988974576783,2168da8c69fd0de293d2150a5cb72f12fee859df00bc7192343bbbf100f0431b,12.848416100023314
jpn48,xlron_jpn48,650.0,5001,strict_v13,500,1000,724,276,0.276,2.5212819010484964,36.544,6.1187845303867405,1.2154696132596685,0.39640883977900554,47.83563535911602,4.346685082872928,5.2720994475138125,779.5801104972376,0.25396396225658985,2168da8c69fd0de293d2150a5cb72f12fee859df00bc7192343bbbf100f0431b,16.282304599997588
nsfnet,xlron_nsfnet_deeprmsa,250.0,5001,ff_ksp_k50_hops,500,1000,944,56,0.056,0.11781909945420921,12.407,1.5868644067796611,0.9491525423728814,0.0,28.97457627118644,4.663135593220339,2.6197033898305087,2490.4131355932204,0.2721367383393764,9ebc4623a6f4d8c95936c3ff42a56f14a1f1e115db5f8903f54dd40fe7d91b4b,5.72716449998552
nsfnet,xlron_nsfnet_deeprmsa,250.0,5001,ksp_ff_k50_hops,500,1000,954,46,0.046,0.02184970019152388,11.922,0.5775681341719078,1.0031446540880504,0.0,30.531446540880502,4.620545073375262,2.3123689727463312,2223.5849056603774,0.3020687790241305,9ebc4623a6f4d8c95936c3ff42a56f14a1f1e115db5f8903f54dd40fe7d91b4b,5.47578809998231
nsfnet,xlron_nsfnet_deeprmsa,250.0,5001,strict_v13,500,1000,805,195,0.195,3.4422694002860226,6.505,5.3279503105590065,0.44596273291925465,0.2819875776397516,44.89068322981367,5.402484472049689,3.437267080745342,3333.354037267081,0.2613722736874296,9ebc4623a6f4d8c95936c3ff42a56f14a1f1e115db5f8903f54dd40fe7d91b4b,10.734181399981026
usnet,xlron_usnet_gcnrmsa,450.0,5001,ff_ksp_k50_hops,500,1000,999,1,0.001,0.23517639946658164,79.937,5.2192192192192195,1.8188188188188188,0.0,30.72872872872873,3.3703703703703702,3.694694694694695,1153.2212212212212,0.20480047438920945,bef1c067d2451646b114618380945d4955491d9950f522b736d7bd5f8f28bcea,9.701728999963962
usnet,xlron_usnet_gcnrmsa,450.0,5001,ksp_ff_k50_hops,500,1000,996,4,0.004,0.032096199865918607,66.158,0.8654618473895582,2.0190763052208833,0.0,31.90562248995984,3.2359437751004014,3.0973895582329316,963.3493975903615,0.2893707696561689,bef1c067d2451646b114618380945d4955491d9950f522b736d7bd5f8f28bcea,9.375720600015484
