topology,seed,strict_total,strict_blocked,strict_blocking_rate,strict_r_no_valid_rate,strict_rescue_attempted,strict_rescue_success,strict_avg_path_km,strict_avg_decision_ms,preferred_heuristic_total,preferred_heuristic_blocked,preferred_heuristic_blocking_rate,preferred_heuristic_r_no_valid_rate,preferred_heuristic_rescue_attempted,preferred_heuristic_rescue_success,preferred_heuristic_avg_path_km,preferred_heuristic_avg_decision_ms,strict_k500_rescue_total,strict_k500_rescue_blocked,strict_k500_rescue_blocking_rate,strict_k500_rescue_r_no_valid_rate,strict_k500_rescue_rescue_attempted,strict_k500_rescue_rescue_success,strict_k500_rescue_avg_path_km,strict_k500_rescue_avg_decision_ms,preferred_heuristic_k500_rescue_total,preferred_heuristic_k500_rescue_blocked,preferred_heuristic_k500_rescue_blocking_rate,preferred_heuristic_k500_rescue_r_no_valid_rate,preferred_heuristic_k500_rescue_rescue_attempted,preferred_heuristic_k500_rescue_rescue_success,preferred_heuristic_k500_rescue_avg_path_km,preferred_heuristic_k500_rescue_avg_decision_ms
xlron_usnet_gcnrmsa,6101,6000,359,0.059833333333333336,0.059833333333333336,0,0,1490.6435029250133,36.46067649187171,6000,359,0.059833333333333336,0.059833333333333336,0,0,1270.3761744371566,19.69124172926725,6000,359,0.059833333333333336,0.0,359,0,1490.6435029250133,35.47131583731001,6000,359,0.059833333333333336,0.0,359,0,1270.3761744371566,20.422156351104302
xlron_usnet_gcnrmsa,6102,6000,349,0.058166666666666665,0.058166666666666665,0,0,1377.2408423287914,36.50157261424465,6000,349,0.058166666666666665,0.058166666666666665,0,0,1273.6499734560255,19.90179817266956,6000,349,0.058166666666666665,0.0,349,0,1377.2408423287914,37.29791265402067,6000,349,0.058166666666666665,0.0,349,0,1273.6499734560255,19.218728136678692
xlron_usnet_gcnrmsa,6103,6000,313,0.05216666666666667,0.05216666666666667,0,0,1356.0611921927202,34.89900643945051,6000,313,0.05216666666666667,0.05216666666666667,0,0,1254.9358185334975,18.448453855206026,6000,313,0.05216666666666667,0.0,313,0,1356.0611921927202,35.88187640924783,6000,313,0.05216666666666667,0.0,313,0,1254.9358185334975,18.634369027257588
xlron_usnet_gcnrmsa,6104,6000,307,0.051166666666666666,0.051166666666666666,0,0,1420.8515721060953,34.50086774535399,6000,307,0.051166666666666666,0.051166666666666666,0,0,1260.3667662041103,18.131227365190473,6000,307,0.051166666666666666,0.0,307,0,1420.8515721060953,35.35665435332339,6000,307,0.051166666666666666,0.0,307,0,1260.3667662041103,18.272221696708584
xlron_usnet_gcnrmsa,6105,6000,304,0.050666666666666665,0.050666666666666665,0,0,1360.0941011235955,33.618012742634164,6000,304,0.050666666666666665,0.050666666666666665,0,0,1268.7141853932585,17.355801075464115,6000,304,0.050666666666666665,0.0,304,0,1360.0941011235955,34.395421612493614,6000,304,0.050666666666666665,0.0,304,0,1268.7141853932585,17.709366513998248
xlron_jpn48,6101,6000,345,0.0575,0.0575,0,0,1267.8309460654289,46.55603390749699,6000,344,0.05733333333333333,0.05733333333333333,0,0,1170.1814002828855,27.629192324103013,6000,345,0.0575,0.0,345,0,1267.8309460654289,43.84519958551391,6000,344,0.05733333333333333,0.0,344,0,1170.1814002828855,22.2653367826036
xlron_jpn48,6102,6000,309,0.0515,0.0515,0,0,1283.1586715867159,43.99831002913803,6000,309,0.0515,0.0515,0,0,1182.419609910385,25.42519087799398,6000,309,0.0515,0.0,309,0,1283.1586715867159,41.04340972196466,6000,309,0.0515,0.0,309,0,1182.419609910385,20.426895199605497
xlron_jpn48,6103,6000,346,0.057666666666666665,0.057666666666666665,0,0,1261.0546515741069,46.243983506195946,6000,345,0.0575,0.0575,0,0,1174.8297082228116,27.616879563827144,6000,346,0.057666666666666665,0.0,346,0,1261.0546515741069,41.421411510188285,6000,345,0.0575,0.0,345,0,1174.8297082228116,21.624975279769085
xlron_jpn48,6104,6000,321,0.0535,0.0535,0,0,1272.0443740095088,41.49587247317928,6000,320,0.05333333333333334,0.05333333333333334,0,0,1176.5420774647887,20.305252314108657,6000,321,0.0535,0.0,321,0,1272.0443740095088,32.348534503311384,6000,320,0.05333333333333334,0.0,320,0,1176.5420774647887,17.653015942739632
xlron_jpn48,6105,6000,361,0.06016666666666667,0.06016666666666667,0,0,1268.2700833481113,38.38489176351383,6000,360,0.06,0.06,0,0,1175.2377659574468,19.25601032160921,6000,361,0.06016666666666667,0.0,361,0,1268.2700833481113,33.01334527210565,6000,360,0.06,0.0,360,0,1175.2377659574468,17.91323325239743
