seed,c_mode,r_mode,method_name,display_name,total,admitted,blocked,blocking_rate,server_overload,overload_rate,no_suitable_block,nsb_rate,other_failure,other_rate,avg_delay_ms,delay_p95_ms,avg_fs,avg_decision_ms,decision_p95_ms,avg_path_length_km,avg_hop_count,ppo_r_agreement,fallback_rate,ranker_top1_in_candidates_rate
5014,df_c,ppo_r_top1,df_c+ppo_r_top1,DF_C + PPO-R Top-1,6000,5630,370,0.06166666666666667,370,0.06166666666666667,0,0.0,0,0.0,8.726350118762323,15.558587166974338,3.1062166962699824,10.345124006727323,13.564119455986656,768.8976909413855,1.5467140319715809,1.0,0.0,0.0
5015,df_c,ppo_r_top1,df_c+ppo_r_top1,DF_C + PPO-R Top-1,6000,5748,252,0.042,251,0.041833333333333333,1,0.00016666666666666666,0,0.0,8.626718081096922,15.626746219311578,3.1038622129436324,10.565086250862805,13.880299334414305,755.7797494780793,1.5203549060542798,1.0,0.0,0.0
5016,df_c,ppo_r_top1,df_c+ppo_r_top1,DF_C + PPO-R Top-1,6000,5647,353,0.058833333333333335,353,0.058833333333333335,0,0.0,0,0.0,8.509667555355023,15.272032371298494,3.069771560120418,10.417744156725044,13.602532155346125,748.7689038427484,1.508234460775633,1.0,0.0,0.0
5017,df_c,ppo_r_top1,df_c+ppo_r_top1,DF_C + PPO-R Top-1,6000,5665,335,0.05583333333333333,335,0.05583333333333333,0,0.0,0,0.0,8.656261635479186,15.686007628416688,3.096204766107679,10.600067853442548,13.886392912536394,763.6458958517211,1.5438658428949692,1.0,0.0,0.0
5018,df_c,ppo_r_top1,df_c+ppo_r_top1,DF_C + PPO-R Top-1,6000,5709,291,0.0485,291,0.0485,0,0.0,0,0.0,8.450321614460687,15.158013556833007,3.1029952706253283,10.581127862324744,13.779997064557392,759.4447363811526,1.5247854265195306,1.0,0.0,0.0
5019,df_c,ppo_r_top1,df_c+ppo_r_top1,DF_C + PPO-R Top-1,6000,5696,304,0.050666666666666665,304,0.050666666666666665,0,0.0,0,0.0,8.647056960185132,15.460736253657457,3.0981390449438204,10.553561401344874,13.790849571523724,758.6046348314607,1.5222963483146068,1.0,0.0,0.0
5020,df_c,ppo_r_top1,df_c+ppo_r_top1,DF_C + PPO-R Top-1,6000,5630,370,0.06166666666666667,370,0.06166666666666667,0,0.0,0,0.0,8.654985860007814,15.643843794201327,3.0955595026642984,10.52638527864959,13.851209590211512,766.4746003552398,1.5289520426287744,1.0,0.0,0.0
5001,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5746,254,0.042333333333333334,254,0.042333333333333334,0,0.0,0,0.0,7.779387072074838,13.255393974049204,2.213365819700661,10.06499796025552,13.208283836138436,667.9620605638705,1.2935955447267664,0.064,0.0,0.0
5002,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5670,330,0.055,330,0.055,0,0.0,0,0.0,7.824413398805964,13.697865634420012,2.2142857142857144,9.936068314695149,13.134144817013294,668.5562610229277,1.2915343915343915,0.08033333333333334,0.0,0.0
5003,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5638,362,0.060333333333333336,362,0.060333333333333336,0,0.0,0,0.0,7.869333579175454,13.736105134660654,2.2071656615821214,10.051510064023509,13.270722809829751,673.902802412203,1.2917701312522172,0.0835,0.0,0.0
5004,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5673,327,0.0545,327,0.0545,0,0.0,0,0.0,7.782146530998661,13.666977444313218,2.2065926317644986,10.034773589102164,13.253322601667605,661.9950643398555,1.2873259298431166,0.07633333333333334,0.0,0.0
5005,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5618,382,0.06366666666666666,382,0.06366666666666666,0,0.0,0,0.0,8.087117014192733,13.996953797775623,2.225169099323603,10.543905472111268,14.367731758102309,687.7579209683162,1.3147027411890353,0.08133333333333333,0.0,0.0
5006,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5467,533,0.08883333333333333,533,0.08883333333333333,0,0.0,0,0.0,8.378609209674952,14.756205234143755,2.2388878726906896,10.6299311259257,14.69809838017682,691.628681177977,1.3135174684470459,0.1075,0.0,0.0
5007,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5584,416,0.06933333333333333,416,0.06933333333333333,0,0.0,0,0.0,8.110727193168875,13.89158275811681,2.219018624641834,10.637618411060734,14.598151744576171,673.8055157593124,1.2931590257879657,0.08833333333333333,0.0,0.0
5008,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5689,311,0.051833333333333335,311,0.051833333333333335,0,0.0,0,0.0,7.864942688262062,13.639848286735937,2.215152047811566,10.794623509219187,14.681350602768362,669.9194937598875,1.2933731763051504,0.07416666666666667,0.0,0.0
5009,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5698,302,0.050333333333333334,302,0.050333333333333334,0,0.0,0,0.0,8.00491700987337,13.80926354212395,2.219199719199719,10.03375599294668,13.247944257454947,674.2579852579853,1.2915057915057915,0.0735,0.0,0.0
5010,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5466,534,0.089,534,0.089,0,0.0,0,0.0,8.195095309654093,14.359465121463911,2.217160629345042,9.87901403735062,13.195741164963692,676.9831686791072,1.2905232345407978,0.115,0.0,0.0
5011,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5534,466,0.07766666666666666,466,0.07766666666666666,0,0.0,0,0.0,8.089534413284628,13.994233855763015,2.230574629562703,9.99666273087981,13.276793886325322,681.8348391760029,1.301409468738706,0.09833333333333333,0.0,0.0
5012,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5497,503,0.08383333333333333,503,0.08383333333333333,0,0.0,0,0.0,8.358497177116675,14.44989020026881,2.2301255230125525,9.884520831522726,13.122594941523857,686.235764962707,1.2979807167545934,0.10366666666666667,0.0,0.0
5013,df_c,ksp_ff_highest,df_c+ksp_ff_highest,DF_C + KSP-FF K=50 hops,6000,5598,402,0.067,402,0.067,0,0.0,0,0.0,8.06539427668859,14.088133099172358,2.222400857449089,9.936319753086233,13.057585648493841,680.0057163272597,1.3031439799928546,0.08816666666666667,0.0,0.0
