topology,seed,arm,k_paths,blocked,blocking,selector_mean_ms,selector_p50_ms,selector_p95_ms,selector_p99_ms,end_to_end_ms,route_init_s,selector_init_s,env_init_s,ksp_ff_backend,shadow_row_backend,legal_start_backend
xlron_nsfnet_deeprmsa,23007,ksp_ff_k50,50,740,0.074,0.016318451369773935,0.008675968274474144,0.06834999658167362,0.09038495598360903,0.026750302185643126,0.3473047079751268,0.02419990999624133,0.030179994995705783,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23007,ksp_bf_k50,50,682,0.0682,0.02833079290576279,0.004619010724127293,0.25505447993054986,0.3420855826698245,0.03974410889416256,0.3394976280396804,1.3720709830522537e-06,0.03203790995758027,,,
xlron_nsfnet_deeprmsa,23007,full_direct,50,554,0.0554,0.36021635498301213,0.3438880667090416,0.615226075751707,0.8880683581810456,0.37708729280116543,0.34249077702406794,0.16608201304916292,0.03133225301280618,,python,python
xlron_nsfnet_deeprmsa,23007,opp_only,50,599,0.0599,0.13998967899136586,0.12265297118574381,0.23515407228842367,0.38380157318897573,0.1541410465513102,0.331004407024011,0.08965281094424427,0.03016425494570285,,,python
xlron_nsfnet_deeprmsa,23008,ksp_ff_k5,5,690,0.069,0.010125552484003658,0.008174916729331017,0.015704001998528783,0.04360400955192747,0.01954303001349961,0.02229013410396874,0.002446125028654933,0.033649796969257295,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23008,ksp_ff_k50,50,626,0.0626,0.015288017626682466,0.00859599094837904,0.06754801142960787,0.08878930821083487,0.02518624218646437,0.33887766406405717,0.025040857028216124,0.03120572306215763,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23008,ksp_bf_k50,50,576,0.0576,0.02378318118016151,0.004549045115709305,0.24936739937402302,0.2955634403042496,0.03410507470835,0.33570950105786324,1.5220139175653458e-06,0.029811272979713976,,,
xlron_nsfnet_deeprmsa,23008,full_direct,50,469,0.0469,0.3689687129279429,0.34956849412992597,0.6307850475423027,0.9083504846785219,0.38603119483344595,0.33322385500650853,0.14437058300245553,0.03110965806990862,,python,python
xlron_nsfnet_deeprmsa,23008,opp_only,50,453,0.0453,0.13915090061808852,0.12189144035801291,0.22258295211941004,0.32252282253466547,0.15309244906529784,0.3448128990130499,0.10791933699510992,0.030214742990210652,,,python
xlron_nsfnet_deeprmsa,23009,ksp_ff_k5,5,789,0.0789,0.009835617616772652,0.008156057447195053,0.014618539717048398,0.03993714344687762,0.01890199628277597,0.021377549972385168,0.0023972810013219714,0.031026319949887693,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23009,ksp_ff_k50,50,712,0.0712,0.01585615541658957,0.008747039828449488,0.06834204541519281,0.09599330020137134,0.025774408354085277,0.34201195696368814,0.024895397014915943,0.03517491300590336,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23009,ksp_bf_k50,50,728,0.0728,0.02719924584115771,0.004508998245000839,0.25313153164461255,0.29601243208162487,0.037343440048227254,0.3531482770340517,1.4130491763353348e-06,0.030980863026343286,,,
xlron_nsfnet_deeprmsa,23009,full_direct,50,598,0.0598,0.3647511727705767,0.34605199471116066,0.6398750701919198,0.9217239241115752,0.3818597300189801,0.33988626999780536,0.1443652049638331,0.029535419074818492,,python,python
xlron_nsfnet_deeprmsa,23009,opp_only,50,582,0.0582,0.13770188902377745,0.12071896344423294,0.22286333842203004,0.33599513350054677,0.15139018063729798,0.33256516698747873,0.08592509792651981,0.03091659804340452,,,python
xlron_nsfnet_deeprmsa,23010,ksp_ff_k5,5,829,0.0829,0.011228727028620513,0.008306000381708145,0.016841926844790578,0.04996720002964144,0.02125874705697325,0.02283625805284828,0.002852606005035341,0.03761243599001318,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23010,ksp_ff_k50,50,835,0.0835,0.01641195546835661,0.008816015906631947,0.06898246938362715,0.09346839971840383,0.026264520150355318,0.3339312559692189,0.024542358005419374,0.03110526199452579,python_bitparallel_early_exit,,
xlron_nsfnet_deeprmsa,23010,ksp_bf_k50,50,817,0.0817,0.02922365273645317,0.004588044248521328,0.25610802113078535,0.3197102830745283,0.03956574096810073,0.3392522169742733,1.5529803931713104e-06,0.05759288591798395,,,
xlron_nsfnet_deeprmsa,23010,full_direct,50,677,0.0677,0.359970739852129,0.3427754854783416,0.629028002731502,0.9564313769806188,0.3771356983766468,0.3376725440612063,0.14631770993582904,0.03122625092510134,,python,python
xlron_nsfnet_deeprmsa,23010,opp_only,50,697,0.0697,0.13942455538463863,0.12289400910958648,0.2302279055584222,0.341391197871417,0.15340362952768125,0.34129655302967876,0.09275665006134659,0.031625087023712695,,,python
xlron_usnet_gcnrmsa,23001,ksp_ff_k5,5,1150,0.115,0.011466539644805545,0.009667943231761456,0.017924502026289695,0.04374345648102463,0.02242080189964988,0.10323939402587712,0.007142671965993941,0.03173775505274534,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23001,ksp_ff_k50,50,879,0.0879,0.018629607162438333,0.010279007256031036,0.06229807622730732,0.08543527568690486,0.03100335545075888,1.5731217919383198,0.07332348101772368,0.029944989015348256,python_bitparallel_early_exit,,
xlron_usnet_gcnrmsa,23001,ksp_bf_k50,50,858,0.0858,0.036588364164344966,0.005890964530408382,0.2540140645578503,0.31991322059184346,0.04984029245943847,1.6000384830404073,1.2629898265004158e-06,0.031027939985506237,,,
xlron_usnet_gcnrmsa,23001,full_direct,50,788,0.0788,0.3412744188363748,0.3170569543726742,0.6077259429730474,0.8788846957031639,0.36158254024022346,1.6014047199860215,0.515342133003287,0.03235174808651209,,python,python
